studrollno,Accommodation Operation,Accountancy,Bakery,Banking,Biology,Botany,Business Studies,Chemistry,Civics,Computer Application,Co-operation,Economics,English,French,General Foundation Course,Hindi,History,Konkani,Logic,Marathi,Mathematics,Physics,Political Science,Portuguese,Psychology,Secretarial Practice,Sociology,Hindi_y,History_y,Political Science_y,Portuguese_y,Psychology_y,Economics_y,English_y,Konkani_y,Marathi_y,Philosophy,Sociology_y
19-1351,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,59,0,60,0,0,0,0,0,0,55,0,0,AB,AB,ND,ND,ND,ND,ND,P,ND,ND,ND
19-1352,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,63,65,0,0,0,0,0,0,59,0,0,F,P,ND,ND,ND,ND,ND,P,ND,ND,ND
19-1361,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,73,0,0,0,67,0,0,0,0,0,0,0,ND,ND,F,ND,ND,ND,ND,F,P,ND,ND
19-1362,0,0,0,0,0,0,0,0,0,0,0,55,53,0,0,82,0,0,0,81,0,0,0,0,0,0,0,ND,ND,P,ND,ND,ND,ND,C,P,ND,ND
19-1363,0,0,0,0,0,0,0,0,0,0,0,48,43,0,0,60,0,0,0,66,0,0,0,0,0,0,0,ND,ND,F,ND,ND,ND,ND,F,P,ND,ND
19-1372,0,0,103,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AB,ND,ND,ND,ND,ND,ND,AB,AB,ND,ND
19-1373,0,0,0,0,0,0,39,0,0,0,0,0,34,0,0,0,0,0,0,40,0,0,0,0,0,33,0,AB,ND,ND,ND,ND,ND,ND,AB,AB,ND,ND
19-1401,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,79,46,0,74,0,0,0,0,0,59,0,0,ND,ND,ND,ND,P,ND,ND,ND,ND,A,B
19-1405,0,0,0,0,0,0,0,0,0,0,0,0,70,48,0,0,73,0,0,0,0,0,0,0,78,0,0,ND,ND,ND,ND,C,ND,ND,ND,ND,B+,C
19-1406,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,70,87,0,0,ND,ND,ND,ND,B,ND,ND,ND,ND,A,B+
19-1409,0,0,0,0,72,0,0,53,0,0,0,0,59,0,0,0,0,64,0,0,0,58,0,0,76,0,0,ND,ND,ND,ND,A,ND,ND,ND,ND,B+,B+
19-1411,0,0,0,0,0,0,81,0,0,0,0,0,73,0,0,0,0,71,0,0,0,0,0,0,0,67,0,ND,ND,ND,ND,P,ND,ND,ND,ND,B,P
19-1412,0,0,0,0,0,0,0,0,36,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,ND,ND,B,ND,ND,ND,ND,A+,A
19-1413,0,0,0,0,0,46,0,45,0,0,0,0,47,0,0,40,0,0,0,0,0,41,0,0,0,0,0,ND,ND,ND,ND,F,ND,ND,ND,ND,B,C
19-1414,0,0,0,0,0,0,0,0,86,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,ND,ND,F,ND,ND,ND,ND,B+,B
19-1421,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,66,0,0,77,0,0,0,0,0,0,0,ND,ND,P,ND,ND,ND,ND,ND,ND,AB,AB
19-1422,91,0,99,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,A,ND,ND,ND,ND,ND,ND,P,C
19-1423,0,0,0,0,0,0,0,0,0,0,0,76,71,0,0,0,57,45,0,0,0,0,0,0,0,0,0,ND,ND,C,ND,ND,ND,ND,ND,ND,F,F
19-1424,0,0,0,0,0,0,0,0,0,0,0,48,55,0,0,0,54,68,0,0,0,0,0,0,0,0,0,ND,ND,B,ND,ND,ND,ND,ND,ND,P,F
19-1426,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,78,71,0,0,0,0,0,0,71,0,0,ND,ND,C,ND,ND,ND,ND,ND,ND,P,F
19-1427,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,A,ND,ND,ND,ND,ND,ND,B+,C
19-1429,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,76,0,0,70,0,0,0,0,0,0,0,ND,ND,B+,ND,ND,ND,ND,ND,ND,B+,B+
19-1431,0,0,0,0,0,0,0,0,0,0,0,63,51,0,0,61,0,0,0,75,0,0,0,0,0,0,0,ND,ND,P,ND,ND,ND,ND,ND,ND,P,F
19-1434,0,0,0,0,0,0,0,0,0,0,0,78,68,0,0,0,73,0,0,86,0,0,0,0,0,0,0,ND,ND,B+,ND,ND,ND,ND,ND,ND,B,P
19-1435,0,0,0,0,0,0,0,0,0,0,0,60,33,0,0,0,80,0,0,71,0,0,0,0,0,0,0,ND,ND,A,ND,ND,ND,ND,ND,ND,B,P
19-1436,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,60,0,0,83,0,0,0,0,0,0,0,ND,ND,B,ND,ND,ND,ND,ND,ND,P,F
19-1437,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,69,47,0,0,0,0,0,0,64,0,0,ND,ND,B+,ND,ND,ND,ND,ND,ND,P,F
19-1438,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,60,0,0,0,74,0,0,0,0,50,0,0,ND,ND,A,ND,ND,ND,ND,ND,ND,B,B+
19-1439,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,52,59,0,0,0,0,0,0,62,0,0,ND,ND,C,ND,ND,ND,ND,ND,ND,F,P
19-1451,0,0,0,0,0,0,0,0,0,0,0,50,53,0,0,59,0,76,0,0,0,0,0,0,0,0,0,F,ND,ND,ND,ND,ND,ND,ND,ND,F,F
19-1452,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,75,0,0,0,73,0,0,0,0,60,0,0,F,ND,ND,ND,ND,ND,ND,ND,ND,P,C
19-1455,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,84,0,0,0,66,0,0,0,0,47,0,0,AB,ND,ND,ND,ND,ND,ND,ND,ND,AB,AB
19-1456,0,0,0,0,76,0,0,0,0,0,0,0,76,0,0,84,0,0,0,0,0,61,0,0,78,0,0,B,ND,ND,ND,ND,ND,ND,ND,ND,P,F
19-1473,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,97,87,0,0,0,0,0,0,98,0,0,ND,A,ND,ND,B+,ND,ND,ND,ND,A,ND
19-1474,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,86,0,0,0,0,0,0,85,65,0,0,ND,A,ND,ND,A+,ND,ND,ND,ND,A,ND
19-1475,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,81,0,0,80,0,0,0,0,53,0,0,ND,AB,ND,ND,A,ND,ND,ND,ND,AB,ND
19-1476,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,70,0,0,0,0,0,0,67,57,0,0,ND,B+,ND,ND,B,ND,ND,ND,ND,C,ND
19-1477,0,0,0,0,63,0,0,0,0,0,0,0,69,58,0,0,0,0,0,0,0,59,0,0,49,0,0,ND,A,ND,ND,B+,ND,ND,ND,ND,A,ND
19-1478,0,53,0,0,0,0,80,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,AB,ND,ND,AB,ND,ND,ND,ND,AB,ND
19-1479,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,56,69,0,0,0,0,0,0,0,59,0,0,ND,A+,ND,ND,A,ND,ND,ND,ND,A,ND
19-1492,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,92,0,0,0,90,0,0,87,0,75,0,0,ND,C,B+,ND,ND,ND,ND,ND,ND,B,ND
19-1493,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,68,55,0,0,0,0,0,0,53,0,0,ND,A,A,ND,ND,ND,ND,ND,ND,B+,ND
19-1494,0,0,0,0,0,0,0,0,0,0,0,55,70,0,0,71,0,0,0,68,0,0,0,0,0,0,0,ND,B,C,ND,ND,ND,ND,ND,ND,F,ND
19-1495,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,81,0,0,0,79,0,0,0,0,70,0,0,ND,B,B+,ND,ND,ND,ND,ND,ND,P,ND
19-1496,0,0,0,0,0,0,0,0,0,0,0,52,47,0,0,81,0,0,0,78,0,0,0,0,0,0,0,ND,C,P,ND,ND,ND,ND,ND,ND,F,ND
19-1497,0,0,0,0,0,0,0,0,0,0,0,51,62,0,0,67,0,0,0,70,0,0,0,0,0,0,0,ND,C,P,ND,ND,ND,ND,ND,ND,C,ND
19-1511,0,0,0,0,0,0,0,0,0,0,0,78,53,0,0,73,0,0,0,73,0,0,0,0,0,0,0,P,B,ND,ND,ND,ND,ND,ND,ND,P,ND
19-1512,0,0,0,0,0,0,0,0,0,0,0,37,56,0,0,69,0,0,0,73,0,0,0,0,0,0,0,P,F,ND,ND,ND,ND,ND,ND,ND,P,ND
19-1513,0,0,0,0,0,0,0,0,0,0,0,62,73,0,0,88,0,0,0,89,0,0,0,0,0,0,0,P,B+,ND,ND,ND,ND,ND,ND,ND,F,ND
19-1515,0,0,0,0,0,0,0,0,0,0,0,60,56,0,0,71,0,0,0,67,0,0,0,0,0,0,0,C,A,ND,ND,ND,ND,ND,ND,ND,C,ND
19-1517,0,0,0,0,0,0,0,0,0,0,0,66,47,0,0,0,67,0,0,75,0,0,0,0,0,0,0,C,B,ND,ND,ND,ND,ND,ND,ND,C,ND
19-1518,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,68,0,0,0,79,0,0,0,0,60,0,0,F,P,ND,ND,ND,ND,ND,ND,ND,F,ND
19-1531,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,86,0,0,0,88,0,0,0,0,72,0,0,ND,ND,ND,ND,B+,ND,ND,ND,B+,B,ND
19-1532,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,59,0,0,0,72,0,0,0,0,68,0,0,ND,ND,ND,ND,P,ND,ND,ND,C,C,ND
19-1533,0,0,0,0,68,0,0,0,0,0,0,0,58,0,0,0,0,0,0,78,0,59,0,0,72,0,0,ND,ND,ND,ND,P,ND,ND,ND,C,P,ND
19-1534,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,88,0,0,0,83,0,0,0,0,91,0,0,ND,ND,ND,ND,B+,ND,ND,ND,B+,B,ND
19-1551,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,91,0,0,0,82,0,0,0,0,54,0,0,ND,ND,A+,ND,ND,ND,ND,ND,A,B,ND
19-1552,0,0,0,0,0,0,0,0,0,0,0,58,61,0,0,74,0,0,0,82,0,0,0,0,0,0,0,ND,ND,C,ND,ND,ND,ND,ND,B+,P,ND
19-1553,0,0,0,0,51,0,0,0,0,0,0,0,49,0,0,0,0,0,0,52,33,49,0,0,0,0,0,ND,ND,B,ND,ND,ND,ND,ND,P,B+,ND
19-1561,0,0,0,0,0,0,0,0,0,0,50,57,43,0,0,0,0,0,0,69,0,0,0,0,0,0,0,F,ND,ND,ND,ND,ND,ND,ND,F,F,ND
19-1562,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,80,0,0,0,79,0,0,0,0,66,0,0,F,ND,ND,ND,ND,ND,ND,ND,P,P,ND
19-1563,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,69,72,0,0,0,0,0,0,0,66,0,0,C,ND,ND,ND,ND,ND,ND,ND,C,F,ND
19-1601,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,72,88,0,0,0,0,0,0,0,60,0,0,ND,ND,ND,ND,B+,ND,A,ND,ND,ND,B+
19-1606,0,0,0,0,0,0,0,0,0,0,0,0,73,63,0,0,83,0,0,0,0,0,0,0,77,0,0,ND,ND,ND,ND,B,ND,B+,ND,ND,ND,C
19-1607,0,0,0,0,0,0,0,0,0,0,0,0,60,36,0,0,45,0,64,0,0,0,0,0,51,0,0,ND,ND,ND,ND,A,ND,A,ND,ND,ND,A
19-1608,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,74,71,0,0,0,0,0,0,71,0,0,ND,ND,ND,ND,F,ND,F,ND,ND,ND,F
19-1609,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,82,80,0,0,0,0,0,0,85,0,0,ND,ND,ND,ND,A,ND,A,ND,ND,ND,B+
19-1610,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,37,37,0,0,0,0,0,ND,ND,ND,ND,A,ND,A+,ND,ND,ND,A
19-1611,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,26,0,0,0,0,0,0,ND,ND,ND,ND,A+,ND,A,ND,ND,ND,A
19-1612,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,69,0,0,ND,ND,ND,ND,P,ND,B,ND,ND,ND,C
19-1615,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,82,0,87,0,0,0,0,0,0,83,0,0,ND,ND,ND,ND,A+,ND,O,ND,ND,ND,A
19-1616,0,0,0,0,0,0,0,0,0,0,0,0,69,51,0,0,87,0,0,0,0,0,0,0,72,0,0,ND,ND,ND,ND,A,ND,A,ND,ND,ND,B
19-1618,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,52,0,0,62,0,0,0,0,47,0,0,ND,ND,ND,ND,B+,ND,A,ND,ND,ND,A
19-1619,0,0,0,0,67,0,0,0,0,0,0,0,83,68,0,0,0,0,0,0,0,49,0,0,81,0,0,ND,ND,ND,ND,P,ND,P,ND,ND,ND,C
19-1620,0,0,0,0,0,0,66,0,0,0,0,0,70,0,0,66,0,0,0,0,0,0,0,0,0,53,0,ND,ND,ND,ND,A,ND,A+,ND,ND,ND,B+
19-1631,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,75,78,0,0,0,0,0,0,0,55,0,0,ND,ND,P,ND,ND,ND,B+,ND,ND,ND,C
19-1633,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,98,91,0,0,0,0,0,0,90,0,0,ND,ND,A,ND,ND,ND,B+,ND,ND,ND,C
19-1634,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,78,76,0,0,0,0,0,0,79,0,0,ND,ND,A+,ND,ND,ND,A,ND,ND,ND,A
19-1635,0,0,0,0,0,0,0,0,0,0,0,51,75,0,0,70,0,81,0,0,0,0,0,0,0,0,0,ND,ND,O,ND,ND,ND,A,ND,ND,ND,B+
19-1636,0,0,0,0,70,0,0,0,0,0,0,0,80,0,0,0,0,85,0,0,0,57,0,0,0,0,0,ND,ND,B+,ND,ND,ND,A,ND,ND,ND,B
19-1637,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,80,58,0,0,0,0,0,0,36,0,0,ND,ND,A,ND,ND,ND,A+,ND,ND,ND,A
19-1638,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,33,47,0,0,0,0,0,0,40,0,0,ND,ND,A,ND,ND,ND,A,ND,ND,ND,B
19-1639,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,73,0,0,0,75,0,0,0,0,70,0,0,ND,ND,B,ND,ND,ND,B+,ND,ND,ND,P
19-1640,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,66,57,0,0,0,0,0,0,0,48,0,0,ND,ND,B,ND,ND,ND,B+,ND,ND,ND,P
19-1651,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,72,40,0,0,0,0,0,0,0,40,0,0,F,ND,ND,ND,ND,ND,B+,ND,ND,ND,F
19-1652,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,82,98,0,0,0,0,0,0,0,93,0,0,P,ND,ND,ND,ND,ND,B,ND,ND,ND,F
19-1654,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,49,50,0,0,0,0,0,0,0,0,0,B+,ND,ND,ND,ND,ND,A+,ND,ND,ND,A+
19-1655,0,0,0,0,0,0,0,0,0,0,0,47,59,0,0,63,0,73,0,0,0,0,48,0,0,0,0,AB,ND,ND,ND,ND,ND,AB,ND,ND,ND,AB
19-1656,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,89,0,0,0,95,0,0,0,0,83,0,0,F,ND,ND,ND,ND,ND,B,ND,ND,ND,F
19-1657,0,0,0,0,0,0,0,0,0,0,0,68,87,0,0,76,0,0,0,72,0,0,0,0,0,0,0,B+,ND,ND,ND,ND,ND,A,ND,ND,ND,A
19-1658,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,63,0,0,0,0,0,0,82,72,0,0,B,ND,ND,ND,ND,ND,A,ND,ND,ND,F
19-1665,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,72,69,0,0,0,0,0,0,75,0,0,ND,ND,ND,A,ND,ND,A,ND,ND,ND,B
19-1671,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,69,62,0,0,0,0,0,0,0,62,0,0,ND,B+,ND,ND,B,ND,B+,ND,ND,ND,ND
19-1672,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,74,76,0,0,0,0,0,0,89,0,0,ND,C,ND,ND,P,ND,B+,ND,ND,ND,ND
19-1673,0,0,0,0,0,0,0,0,0,0,0,0,68,66,0,0,82,0,0,0,0,0,0,0,72,0,0,ND,B+,ND,ND,A,ND,A,ND,ND,ND,ND
19-1674,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,80,67,0,0,0,0,0,0,72,0,0,ND,A+,ND,ND,A,ND,A+,ND,ND,ND,ND
19-1676,0,0,0,0,62,0,0,0,0,0,0,0,66,50,0,0,0,0,0,0,0,56,0,0,56,0,0,ND,B+,ND,ND,A,ND,B+,ND,ND,ND,ND
19-1677,0,0,0,0,85,0,0,0,0,0,0,0,79,0,0,0,0,92,0,0,0,75,0,0,81,0,0,ND,C,ND,ND,A,ND,A,ND,ND,ND,ND
19-1678,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,92,75,0,0,0,0,0,0,89,0,0,ND,A,ND,ND,A,ND,O,ND,ND,ND,ND
19-1679,0,0,0,0,0,0,0,0,0,0,0,0,82,71,0,0,95,0,0,0,0,0,0,0,84,0,0,ND,B+,ND,ND,B+,ND,A+,ND,ND,ND,ND
19-1680,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,70,92,0,0,0,0,0,0,0,83,0,0,ND,A+,ND,ND,A+,ND,A+,ND,ND,ND,ND
19-1681,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,73,78,0,0,0,0,0,0,79,0,0,ND,A,ND,ND,A+,ND,A+,ND,ND,ND,ND
19-1682,0,0,0,0,0,0,0,0,0,0,0,0,80,54,0,0,82,0,79,0,0,0,0,0,76,0,0,ND,B,ND,ND,B+,ND,P,ND,ND,ND,ND
19-1683,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,96,74,0,0,0,0,0,0,92,0,0,ND,B,ND,ND,A,ND,C,ND,ND,ND,ND
19-1684,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,71,71,0,0,0,0,0,0,74,0,0,ND,A+,ND,ND,A+,ND,A,ND,ND,ND,ND
19-1685,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,90,85,0,0,0,0,0,0,78,0,0,ND,A+,ND,ND,A,ND,A+,ND,ND,ND,ND
19-1686,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,89,78,0,0,0,0,0,0,75,0,0,ND,O,ND,ND,A+,ND,A+,ND,ND,ND,ND
19-1687,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,76,79,0,0,0,0,0,0,84,0,0,ND,B+,ND,ND,B+,ND,A,ND,ND,ND,ND
19-1688,0,0,0,0,0,0,67,0,0,0,0,0,60,0,0,0,0,69,0,0,0,0,0,0,0,56,0,ND,A,ND,ND,A,ND,A,ND,ND,ND,ND
19-1689,0,0,0,0,0,0,0,0,0,0,82,0,80,58,0,0,92,0,0,0,0,0,0,0,88,0,0,ND,B+,ND,ND,A,ND,A,ND,ND,ND,ND
19-1690,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,82,61,0,0,0,0,0,0,0,80,0,0,ND,A+,ND,ND,A+,ND,A+,ND,ND,ND,ND
19-1691,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,79,0,0,0,0,0,0,69,85,0,0,ND,A+,ND,ND,A,ND,A,ND,ND,ND,ND
19-1692,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,85,77,0,0,0,0,0,0,90,0,0,ND,B+,ND,ND,A,ND,A+,ND,ND,ND,ND
19-1693,0,0,0,0,0,0,0,0,0,0,0,0,88,85,0,0,99,0,100,0,0,0,0,0,90,0,0,ND,A,ND,ND,B+,ND,B,ND,ND,ND,ND
19-1694,0,89,0,77,0,0,76,0,0,0,0,0,66,64,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,A+,ND,ND,A+,ND,A,ND,ND,ND,ND
19-1696,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,79,85,0,0,0,0,0,0,90,0,0,ND,C,ND,ND,B+,ND,A,ND,ND,ND,ND
19-1712,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,79,0,88,0,0,0,0,62,0,65,0,0,ND,A+,A,ND,ND,ND,A+,ND,ND,ND,ND
19-1713,0,0,0,0,0,0,0,0,0,0,0,63,55,0,0,0,51,54,0,0,0,0,0,0,0,0,0,ND,C,P,ND,ND,ND,B+,ND,ND,ND,ND
19-1714,0,0,0,0,0,0,0,0,0,0,0,66,70,0,0,79,0,83,0,0,0,0,0,0,0,0,0,ND,A,B+,ND,ND,ND,B+,ND,ND,ND,ND
19-1715,0,0,0,0,0,0,0,0,0,0,0,92,68,0,0,94,0,0,0,90,0,0,0,0,0,0,0,ND,B+,B+,ND,ND,ND,B+,ND,ND,ND,ND
19-1716,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,81,0,0,0,72,0,0,0,0,72,0,0,ND,A,A,ND,ND,ND,B+,ND,ND,ND,ND
19-1731,0,0,0,0,0,0,0,0,0,0,0,58,64,0,0,78,0,0,0,69,0,0,0,0,0,0,0,B,B,ND,ND,ND,ND,A,ND,ND,ND,ND
19-1732,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,88,0,0,0,0,0,0,64,85,0,0,C,C,ND,ND,ND,ND,B+,ND,ND,ND,ND
19-1751,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,82,0,0,0,88,0,0,0,0,85,0,0,ND,A+,ND,A,ND,ND,A+,ND,ND,ND,ND
19-1761,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,85,0,0,0,88,0,0,0,0,98,0,0,ND,ND,ND,ND,B,ND,B+,ND,A,ND,ND
19-1762,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,86,0,0,0,83,0,0,0,0,75,0,0,ND,ND,ND,ND,A+,ND,A,ND,A,ND,ND
19-1763,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,72,0,0,0,77,0,0,91,0,95,0,0,ND,ND,ND,ND,B,ND,A,ND,B+,ND,ND
19-1771,0,0,0,0,0,0,0,0,0,0,0,66,61,0,0,80,0,0,0,85,0,0,90,0,0,0,0,ND,ND,A,ND,ND,ND,A,ND,B,ND,ND
19-1772,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,90,0,0,0,95,0,0,0,0,79,0,0,ND,ND,B,ND,ND,ND,A,ND,A,ND,ND
19-1781,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,91,0,0,0,0,0,0,0,0,74,0,0,AB,ND,ND,ND,ND,ND,AB,ND,AB,ND,ND
19-1782,0,0,0,0,0,0,0,0,0,0,47,37,40,0,0,50,37,0,0,0,0,0,0,0,0,0,0,A,ND,ND,ND,ND,ND,A,ND,O,ND,ND
19-1342,102,0,79,0,0,0,0,0,0,0,0,0,49,0,35,0,0,0,0,0,0,0,0,0,0,0,0,F,F,ND,ND,ND,ND,ND,F,ND,ND,ND
19-1416,0,71,0,105,0,0,0,0,0,92,0,0,45,0,44,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,ND,ND,C,ND,ND,ND,ND,A,A
19-1454,0,0,0,0,0,0,0,0,0,113,0,0,58,0,44,0,0,0,0,0,0,0,0,0,0,0,0,P,ND,ND,ND,ND,ND,ND,ND,ND,C,B
19-1267,0,0,0,0,0,0,0,0,0,0,0,0,69,0,46,0,0,0,0,0,0,0,0,0,0,0,0,F,ND,ND,ND,ND,ND,ND,P,ND,ND,F
19-1440,0,0,0,0,0,0,0,0,0,0,0,0,68,0,50,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,B+,ND,ND,ND,ND,ND,ND,P,P
19-1345,0,100,0,0,0,0,0,0,0,104,0,0,66,0,59,0,0,0,0,0,0,0,0,0,0,0,0,F,F,ND,ND,ND,ND,ND,P,ND,ND,ND
19-1040,109,0,118,0,0,0,0,0,0,0,0,0,68,0,65,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,A,ND,ND,C,ND,ND,ND,ND,B+
19-1242,0,0,0,0,0,0,0,0,0,0,0,0,57,0,69,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,F,ND,ND,ND,ND,F,ND,ND,F
19-1632,0,0,0,0,0,0,0,0,0,127,0,0,68,0,75,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,B+,ND,ND,ND,B+,ND,ND,ND,B+
